Policy,Size,simInsts,simTicks,readReqs,writeReqs
MESI,16K,3808393,1407043000,2720,0
MESI,65K,15015063,5508764000,11857,3710
MESI,131K,29957311,14350954000,74466,43368
Pol0,16K,3808393,1832830000,2914,0
Pol0,65K,15015063,7008332000,16746,8710
Pol0,131K,29957311,15296951500,85139,45180
Pol1,16K,3808393,1832830000,2914,0
Pol1,65K,15015063,7050256000,18127,9793
Pol1,131K,29957311,15464103500,93430,50886
Pol2,16K,3808393,1832830000,2914,0
Pol2,65K,15015063,7021029500,16959,8929
Pol2,131K,29957311,15312638000,86745,46259
TARDIS_Base,16K,3808393,2655569000,21983,13636
TARDIS_Base,65K,15015063,10757133000,86865,52470
TARDIS_Base,131K,29957311,21637834000,173696,104934
